lokasiid,komisi,kegiatanid,kegiatanno,skpdkode,skpdnama,urusankode,urusannama,programkode,programteks,kegiatan,anggaran,vol,satuan,periode_data
5,5,107581,38,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung SMAN 59,"1,000,000,000",1,Paket,2015
5,5,107583,39,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung dan Lapangan SMAN 71,"1,250,000,000",1,Paket,2015
5,5,107585,40,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung SMAN 44,"750,000,000",1,Paket,2015
5,5,107587,41,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,PerawatanGedung Seksi Dikmen Kecamatan Cakung,"250,000,000",1,Paket,2015
5,5,107589,42,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gapura dan Kantin SMKN 46,"500,000,000",1,Paket,2015
5,5,107591,43,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung dan Pagar SMKN 50,"1,000,000,000",1,Paket,2015
5,5,107593,44,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Pagar dan Pengerasan Lapangan SMAN 91,"1,200,000,000",1,Paket,2015
5,5,107595,45,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Pengadaan Sarana Pendidikan Menengah Jakarta Timur,"300,000,000",1,Paket,2015
6,5,107596,1,1.01.020,Sudin Pendidikan - Kep. Seribu,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Laboratorium Bahasa SD/SMP,"153,467,540",1,Paket,2015
6,5,107597,2,1.01.020,Sudin Pendidikan - Kep. Seribu,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Rudin Transit Guru kepulauan Seribu,"207,546,620",1,Paket,2015
2,5,107599,1,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Kebon Bawang 05/09,"1,946,799,198",1,Paket,2015
2,5,107601,2,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Papanggo 03,"1,493,125,164",1,Paket,2015
2,5,107603,3,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Kebon Bawang 06,"1,822,841,686",1,Paket,2015
2,5,107605,4,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat Gedung SDN Sunter Agung 05/06,"1,996,636,738",1,Paket,2015
2,5,107607,5,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Sedang Gedung SMPN 129,"1,447,121,643",1,Paket,2015
2,5,107609,6,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat Gedung SMPN 116,"2,985,438,026",1,Paket,2015
2,5,107611,7,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,"Perawatan Berat Gedung SDN Warakas 03,04,05,06,07,08","1,392,268,380",1,Paket,2015
2,5,107613,8,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Rehabilitasi Kantin Sehat Sekolah,"223,941,302",1,Paket,2015
2,5,107615,9,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Rehabilitasi Gedung PKBM Kecamatan Pademangan,"1,487,209,170",1,Paket,2015
2,5,107617,10,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Rehabiltiasi Gedung Seksi Kecamatan Tanjung Priok,"1,977,957,412",1,Paket,2015
2,5,107619,11,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Rehabilitasi Berat Gedung SMA Negeri 40,"1,484,287,706",1,Paket,2015
2,5,107621,12,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Rehabilitasi SMA Negeri 111,"891,334,330",1,Paket,2015
2,5,107623,13,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Rehabilitasi Berat Gedung SMA Negeri 18,"3,261,856,701",1,Paket,2015
2,5,107625,14,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Rehabitiliasi Berat Gedung SMK Negeri 56,"1,388,345,056",1,Paket,2015
2,5,107627,15,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Rehab Berat SMPN 65 Jakarta Utara,"3,491,347,811",1,Paket,2015
2,5,107629,16,1.01.032,Sudin Pendidikan I - JAKUT,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Pengadaan Sarana dan Prasarana SMPN 65 Jakarta Utara,"2,016,081,270",1,Paket,2015
3,5,107631,1,1.01.034,Sudin Pendidikan I - JAKBAR,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat Gedung SDN Kamal 03,"1,499,928,959",1,Paket,2015
3,5,107633,2,1.01.034,Sudin Pendidikan I - JAKBAR,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat Gedung SDN Pegadungan 04,"1,499,924,425",1,Paket,2015
3,5,107635,3,1.01.034,Sudin Pendidikan I - JAKBAR,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat Gedung SDN Kapuk 16,"1,499,895,479",1,Paket,2015
3,5,107637,4,1.01.034,Sudin Pendidikan I - JAKBAR,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat Gedung SDN Angke 03,"1,499,996,191",1,Paket,2015
3,5,107639,5,1.01.034,Sudin Pendidikan I - JAKBAR,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat Gedung SDN Duri Utara 01/02,"2,999,852,863",1,Paket,2015
3,5,107641,6,1.01.034,Sudin Pendidikan I - JAKBAR,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat Gedung SDN Jembatan Besi 01/02,"1,499,986,848",1,Paket,2015
3,5,107643,7,1.01.034,Sudin Pendidikan I - JAKBAR,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat Gedung SDN Cengkareng Barat 09,"1,499,940,532",1,Paket,2015
0,5,107161,121,1.01.001,DINAS PENDIDIKAN,1.01,Pendidikan,1.01.01,Program Pendidikan Anak Usia Dini,Pembuatan DED Rehabilitasi Total Gedung SDN Batu Ampar 12,"274,999,890",1,Paket,2015
0,5,107162,139,1.01.001,DINAS PENDIDIKAN,1.01,Pendidikan,1.01.01,Program Pendidikan Anak Usia Dini,Penyelenggaraan Pendidikan Anak Usia Dini,"5,637,995,273",1,Paket,2015
1,5,107164,5,1.01.031,Sudin Pendidikan II - JAKPUS,1.01,Pendidikan,1.01.01,Program Pendidikan Anak Usia Dini,Pelayanan Pendidikan Masyarakat Jakarta Pusat,"599,690,350",1,Paket,2015
1,5,107166,40,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.01,Program Pendidikan Anak Usia Dini,Rehabilitasi Gedung SMK Negeri SMK 16 Jakarta,"3,052,590,198",1,Paket,2015
5,5,107168,5,1.01.039,Sudin Pendidikan II - JAKTIM,1.01,Pendidikan,1.01.01,Program Pendidikan Anak Usia Dini,Pelayanan Pendidikan Masyarakat Jakarta Timur II,"1,253,985,150",1,Paket,2015
5,5,107170,1,1.01.039,Sudin Pendidikan II - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SDN/MIN,"79,288,800,000",1,Paket,2015
5,5,107172,2,1.01.039,Sudin Pendidikan II - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMPN/MTsN/SMPTN,"66,299,808,000",1,Paket,2015
5,5,107174,3,1.01.039,Sudin Pendidikan II - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMAN/MAN,"102,108,480,000",1,Paket,2015
5,5,107176,4,1.01.039,Sudin Pendidikan II - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMK Negeri,"31,395,120,000",1,Paket,2015
5,5,107178,1,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SD/MI Negeri,"86,914,560,000",1,Paket,2015
5,5,107180,2,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMPN/MTsN/SMPTN,"55,552,920,000",1,Paket,2015
5,5,107182,3,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMAN/MAN,"86,563,200,000",1,Paket,2015
5,5,107184,4,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMK Negeri,"36,832,800,000",1,Paket,2015
5,5,107186,5,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) Alokasi Kinerja SDN/MIN,"3,808,368,000",1,Paket,2015
5,5,107188,6,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Kinerja SMPN/MTsN,"2,464,176,000",1,Paket,2015
5,5,107190,7,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) Alokasi Kinerja SMAN/MAN,"4,704,000,000",1,Paket,2015
5,5,107192,8,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) Alokasi Kinerja SMKN,"2,184,000,000",1,Paket,2015
6,5,107193,1,1.01.020,Sudin Pendidikan - Kep. Seribu,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SDN/MIN,"3,034,272,000",1,Paket,2015
6,5,107194,2,1.01.020,Sudin Pendidikan - Kep. Seribu,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMPN/MTsN,"2,495,616,000",1,Paket,2015
6,5,107195,3,1.01.020,Sudin Pendidikan - Kep. Seribu,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMAN/MAN,"3,086,400,000",1,Paket,2015
6,5,107196,4,1.01.020,Sudin Pendidikan - Kep. Seribu,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMKN,"1,633,920,000",1,Paket,2015
1,5,107198,1,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SDN/MIN,"18,738,480,000",1,Paket,2015
1,5,107200,3,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMPN/MTsN,"14,028,840,000",1,Paket,2015
1,5,107202,5,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan SMA dan MA Negeri Jakarta Pusat,"23,438,400,000",1,Paket,2015
1,5,107204,6,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMK Negeri di Jakarta Pusat,"24,332,400,000",1,Paket,2015
1,5,107206,7,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Kinerja SDN,"1,518,768,000",1,Paket,2015
1,5,107208,8,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Kinerja SMPN,"347,160,000",1,Paket,2015
1,5,107210,9,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Kinerja SMAN,"874,560,000",1,Paket,2015
1,5,107212,10,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Kinerja SMKN,"1,341,600,000",1,Paket,2015
1,5,107214,1,1.01.031,Sudin Pendidikan II - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SDN/MIN,"33,270,000,000",1,Paket,2015
1,5,107216,2,1.01.031,Sudin Pendidikan II - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Kinerja SDN,"937,008,000",1,Paket,2015
1,5,107218,3,1.01.031,Sudin Pendidikan II - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMPN/MTsN/SMPTN,"19,699,920,000",1,Paket,2015
1,5,107220,4,1.01.031,Sudin Pendidikan II - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) Alokasi Kinerja SMPN/MTsN,"1,339,272,000",1,Paket,2015
1,5,107222,5,1.01.031,Sudin Pendidikan II - JAKPUS,1.01,Pendidikan,1.01.02,Program Wajib Belajar Dua Belas Tahun,Penyediaan Biaya Operasional Pendidikan (BOP) SMAN/MAN,"24,086,400,000",1,Paket,2015
0,5,107337,1,1.01.002,Pusat Pengembangan Manajemen Sekolah,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan Kompetensi Guru,"3,900,248,900",1,Paket,2015
0,5,107338,2,1.01.002,Pusat Pengembangan Manajemen Sekolah,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pengembangan Wawasan dan Pembinaan Pegawai,"2,432,105,950",1,Paket,2015
0,5,107339,1,1.01.005,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKBAR,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan dan Pengembangan Prestasi Peserta Didik,"2,007,026,778",1,Paket,2015
0,5,107340,2,1.01.005,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKBAR,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan Kompetensi Guru,"4,750,838,600",1,Paket,2015
0,5,107341,4,1.01.005,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKBAR,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Peningkatan Kompetensi Pendidik,"2,788,191,050",1,Paket,2015
0,5,107342,1,1.01.007,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKUT dan Kep.Seribu,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan dan Pengembangan Prestasi Peserta Didik,"1,678,989,024",1,Paket,2015
0,5,107343,2,1.01.007,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKUT dan Kep.Seribu,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan Kompetensi Guru,"4,319,218,880",1,Paket,2015
0,5,107344,4,1.01.007,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKUT dan Kep.Seribu,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Peningkatan Kompetensi Pendidik,"2,325,388,200",1,Paket,2015
0,5,107345,5,1.01.007,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKUT dan Kep.Seribu,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan Kelembagaan Penunjang Mutu Pendidikan,"598,685,100",1,Paket,2015
0,5,107346,1,1.01.006,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKSEL,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan dan Pengembangan Prestasi Peserta Didik,"2,861,428,469",1,Paket,2015
0,5,107347,2,1.01.006,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKSEL,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan Kompetensi Guru,"6,542,623,914",1,Paket,2015
0,5,107348,3,1.01.006,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKSEL,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Peningkatan Kompetensi Pendidik,"2,381,243,698",1,Paket,2015
0,5,107349,1,1.01.008,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKTIM,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan dan Pengembangan Prestasi Peserta Didik,"2,431,820,485",1,Paket,2015
0,5,107350,2,1.01.008,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKTIM,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Peningkatan Kompetensi Pendidik,"6,159,926,274",1,Paket,2015
0,5,107351,3,1.01.008,Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKTIM,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pelimpahan Kewenangan,"2,352,253,500",1,Paket,2015
0,5,107352,1,1.01.003,Planetarium dan Observatorium,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Pembinaan Kompetensi Guru,"442,175,400",1,Paket,2015
0,5,107353,2,1.01.003,Planetarium dan Observatorium,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Penyelenggaraan dan Partisipasi Event Pendidikan,"700,120,100",1,Paket,2015
0,5,107354,1,1.01.029,Sekolah Menengah Atas Negeri Unggulan Mohammad Husni Thamrin,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Peningkatan kompetensi peserta didik SMA Negeri Mohammad Husni Thamrin Jakarta,"11,998,425,434",1,Paket,2015
1,5,107356,1,1.01.030,Sudin Pendidikan I - JAKPUS,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Penyelenggaraan dan Partisipasi Event Pendidikan Jakarta Pusat I,"689,699,077",1,Paket,2015
1,5,107358,1,1.01.031,Sudin Pendidikan II - JAKPUS,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,"Pembinaan, Pengembangan dan Pengawasan Pendidikan Jakarta Pusat II","950,924,616",1,Paket,2015
1,5,107360,2,1.01.031,Sudin Pendidikan II - JAKPUS,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Penyelenggaraan dan Partisipasi Event Pendidikan Menengah Jakarta Pusat,"1,343,645,000",1,Paket,2015
2,5,107362,1,1.01.033,Sudin Pendidikan II - JAKUT,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,"Pembinaan, Pengembangan dan Pengawasan Pendidikan Dasar Jakarta Utara","595,751,000",1,Paket,2015
2,5,107364,2,1.01.033,Sudin Pendidikan II - JAKUT,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Penyelenggaraan dan Partisipasi Event Pendidikan Dasar Jakarta Utara,"400,000,000",1,Paket,2015
2,5,107366,3,1.01.033,Sudin Pendidikan II - JAKUT,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Bimtek Pemberdayaan Komite Sekolah dan Sosialisasi Pencegahan Kekerasan pada siswa SD,"20,000,000",1,Paket,2015
2,5,107368,4,1.01.033,Sudin Pendidikan II - JAKUT,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,Penyelenggaraan dan Partisipasi Event Pendidikan menengah Jakarta Utara,"714,318,000",1,Paket,2015
2,5,107370,5,1.01.033,Sudin Pendidikan II - JAKUT,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,"Pembinaan, Pengembangan dan Pengawasan Pendidikan menengah Jakarta Utara","1,304,287,179",1,Paket,2015
4,5,107372,1,1.01.037,Sudin Pendidikan II - JAKSEL,1.01,Pendidikan,1.01.05,Program Peningkatan Mutu Pendidikan,"Pembinaan, Pengembangan dan Pengawasan Pendidikan Dasar Jakarta Selatan II","674,759,910",1,Paket,2015
